Statistic Measure	Naive Bayes	Random Forest	SVM
Accuracy	0.9570000000000001	0.8940000000000001	0.951
Precision	0.9592187329162594	0.871183444611553	0.9488214067404434
Recall	0.957024613858735	0.9061282642965208	0.9549909087056685
F-Measure	0.9560839899849622	0.8777041172931357	0.949827664717143
